candidate_id,gender,ethnicity,education,years_experience,skills,label
0,female,groupA,phd,10,investment;as;either;identify,1
1,male,groupB,masters,8,data;although;recent;thousand,1
2,male,groupB,masters,18,where;guess;agree;skin,1
3,female,groupB,bachelors,17,participant;direction;discuss;city,1
4,female,groupB,phd,15,serve;scientist;enter;character,0
5,male,groupA,phd,7,group;call;suggest;kid,1
6,non-binary,groupB,masters,6,peace;college;paper;long,1
7,non-binary,groupA,phd,8,space;if;may;mother,1
8,male,groupA,bachelors,4,fill;soldier;age;general,0
9,male,groupA,bachelors,1,reality;than;sister;staff,1
10,male,groupA,masters,20,change;activity;thus;either,1
11,female,groupB,bachelors,5,company;man;image;perform,0
12,female,groupA,phd,18,set;employee;eight;watch,1
13,female,groupA,masters,2,agree;boy;run;development,0
14,female,groupA,masters,14,approach;opportunity;service;question,0
15,male,groupB,bachelors,10,argue;among;wonder;church,0
16,female,groupA,masters,5,training;enjoy;view;event,1
17,male,groupA,bachelors,18,middle;affect;reveal;follow,1
18,female,unknown,phd,6,ask;allow;firm;cover,0
19,male,groupB,phd,5,with;this;full;market,0
20,female,groupB,masters,0,eight;imagine;their;significant,1
21,non-binary,groupA,bachelors,8,course;improve;per;entire,0
22,male,groupA,bachelors,17,him;set;pay;most,1
23,male,groupA,bachelors,4,do;usually;nation;pattern,0
24,male,groupC,phd,19,sure;billion;statement;affect,1
25,female,groupB,bachelors,3,my;medical;way;choose,0
26,male,groupA,masters,12,have;buy;price;nice,1
27,male,groupA,masters,7,police;fish;they;find,1
28,male,groupA,masters,6,race;half;doctor;deep,0
29,male,groupA,phd,8,free;police;law;society,1
30,female,groupB,phd,20,drive;here;two;garden,1
31,female,groupB,masters,8,news;offer;light;include,1
32,male,unknown,phd,8,make;thing;billion;kid,0
33,male,groupA,bachelors,7,real;lead;environmental;eat,0
34,female,groupB,bachelors,4,know;thought;great;race,0
35,female,groupA,bachelors,9,billion;mind;important;question,0
36,female,groupC,phd,19,think;choice;describe;mouth,1
37,female,groupA,bachelors,0,kid;decision;case;education,0
38,female,groupB,bachelors,7,situation;enter;when;poor,1
39,male,groupA,masters,14,site;pick;find;conference,1
40,male,groupB,phd,4,tell;child;yourself;power,0
41,male,groupA,bachelors,20,us;movement;charge;item,1
